iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
0,earthquake,2010-05-15T00:08:43.530Z,-16.689,177.283,10.3,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,Fiji,usp000hcs0,None
1,earthquake,2010-05-15T15:18:13.230Z,-23.59,-176.646,79.8,5.7,1.0,"(1.0, None)",0.5,0.0301029996658834,south of the Fiji Islands,usp000hcst,None
2,earthquake,2010-05-16T00:33:06.350Z,0.511,124.657,123,5.8,1.0,"(1.0, None)",0.5,0.0301029996658834,"Minahasa, Sulawesi, Indonesia",usp000hct7,None
3,earthquake,2010-05-16T01:08:06.940Z,-51.842,28.316,10,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,south of Africa,usp000hct9,None
4,earthquake,2010-05-16T05:16:10.000Z,18.4,-67.07,113,5.8,1.0,"(1.0, None)",0.5,0.0301029996658834,Puerto Rico,usp000hctm,None
5,earthquake,2010-05-16T05:30:57.900Z,-34.826,-16.074,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,southern Mid-Atlantic Ridge,usp000hctp,None
6,earthquake,2010-05-16T06:52:42.540Z,35.996,3.961,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,northern Algeria,usp000hctt,None
7,earthquake,2010-05-16T08:55:46.290Z,14.423,93.18,38.7,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"Andaman Islands, India region",usp000hctw,None
8,earthquake,2010-05-16T12:35:50.740Z,28.815,128.525,41.9,5,1.0,"(1.0, None)",0.5,0.0301029996658834,"Ryukyu Islands, Japan",usp000hcu5,None
9,earthquake,2010-05-16T15:29:02.780Z,73.469,7.49,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,Greenland Sea,usp000hcuc,None
10,earthquake,2010-05-16T16:39:33.110Z,73.418,7.345,10,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,Greenland Sea,usp000hcue,None
11,earthquake,2010-05-16T19:06:37.060Z,-34.657,-15.403,10,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,Tristan da Cunha region,usp000hcuj,None
12,earthquake,2010-05-17T02:06:25.230Z,-55.064,-129.005,10,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,Pacific-Antarctic Ridge,usp000hcux,None
13,earthquake,2010-05-17T09:51:20.600Z,-7.528,119.718,49.2,5,1.0,"(1.0, None)",0.5,0.0301029996658834,Flores Sea,usp000hcvb,None
14,earthquake,2010-05-17T18:57:52.050Z,-34.991,178.883,142.9,5,1.0,"(1.0, None)",0.5,0.0301029996658834,south of the Kermadec Islands,usp000hcvv,None
15,earthquake,2010-05-17T20:05:41.590Z,-16.308,-14.185,10,5.2,1.0,"(1.0, None)",0.5,0.0301029996658834,southern Mid-Atlantic Ridge,usp000hcvx,None
